polaridad,tweet
positivo,excelent presentacion rendicion cuent secretari gestion par
positivo,concurs bellez atent derech ninez adolescent oblig asum rol adult maquill actu compit parametr estereotip gener frustracion
negativo,xenofobi gust com unaun venezolanan simon boliv
positivo, deb just coherent decent person adult mayor palabr finaliz intervencion ministr president cnii orden san juan dios
positivo,fusion dij transparent democraci respet diferent divers gobiern autor autoritar privilegi comun camin cuent president
negativo,pso venezuel cub vergenz ajen zapater apoy legitim tirani madur call violacion ddhh exod millon venezolan sanchez legitim dictadur cuban ignor opositor pid democraci
positivo,estim favor brind respuest requer ciudadan qued pendient salud cordial
negativo,propon ecuatorian cambi articul codig penal establezc abort punibl cas violacion vid salud mujer nin
positivo,robert latorr
positivo,transmision inform semanal transparent socializ gubernamental
positivo,ley declar ley apliqu practic adecu mejor vid amazon
positivo,deleg lourd proan reunion director program radial call coordin realizacion taller gener divers sexual
positivo,boletin ministr justici ofrec detall medi comunicacion ingres irregul asambl sofi espin crs femenin quit 
positivo,cuent cooper cooper cooper compet
negativo,delit electr refineri salud telecomun educacion sri obra public aduan pension adeud delit moren
negativo,rued prens subray sentenci constitucional cumplimient obligatori llam atencion carg polit extract consult previ vulner naturalez
positivo,insta despenaliz abort cas violacion incest malform grav fet garantiz derech sexual reproduct mujer
positivo,polit segur implement gobiern nacional result ecuador pais segur region benefici buen imag permit atraccion inversion turism
positivo, president moren recibi homolog peruan visit oficial realiz celebr anos suscripcion paz brasili
positivo,dec mujer ocup carg ministr secretari
negativo,mor desnutricion madr explot sexual min orinoc violent venezuel
positivo,viern noviembr realiz rued negoci emprend emprendedor instal 
positivo,fiscali inform fiscali investig denunci abus sexual sistem educ conoc notici cas relev nivel nacional 
positivo,reun educ cientif
positivo,estudi xlii curs escuel capacit polit iguald violenci gener
positivo,invit particip feri organiz asambl coordin manan plaz juan montalv sed legisl
positivo,boletin fiscali formul carg person asociacion ilicit usur 
positivo,music comun carg miguel calapi conciert pued disfrut ano
positivo,mishell bust represent cuestion seguir violenci acos agresion nin adolescent mujer asambl
negativo,enfoqu perspect gener refier tom conscienci desiguald ley institucion impact distint hombr mujer conscient realid perspect gener tom part
negativo,continu sesion marc debat recib comision genet expon comentari observ despenalizacion
positivo,asambl proponent christi cruz esper cuent vot miembr comision juici pas plen
negativo,region rural probabil cas nin nin urban cambi situacion 
positivo,recorr call
positivo,andres ve buen tort zanahori 
positivo,hol dam follow escrib dm 
positivo,organiz mujer esmerald present respald dialog 
positivo,conjunt ministeri organiz seminari avanc desafi ejercici derech mujer democraci gener 
positivo,unet entreg realment valios moment inolvid perdur 
positivo,marc pronunci derech vid libr violenci embaraz forz pas luch muj ecuador sufr violenci 
positivo,espaci amig activ respons ampli envi fuert abraz
negativo,definit olvid validez palabr dictador genoc voc imagen puebl oprim 
positivo,suelt amar enorgullecert homofobi avergonz
positivo,canal comunicacion lgbti activ social ecuador latinoamer cumpl aniversari facebook graci apoy
positivo,ley proteg mujer bast impun 
positivo,participacion polit lgbti
positivo,alcald dispong inmediat retir public sexist vulner 
positivo,angle dubeau piet noch cuenc toc pour rein isabel nelson mandel vien quit compr entrad conciert viern
positivo,preparacon col maiz
positivo,violenci sexual embaraz infantil forz practic cultural nociv equival tortur comit ddhh recomend ecuatorian
positivo,cont fiscali especializ delincuent organiz transnacional internacional investig person criteri tecnicosjurid busc respons fiscal mundial
positivo,bienven ecuador import orig nacional 
positivo,vias buen clav desarroll conect crecimient obra signif produccion cre mil plaz region mil direct mil indirect moren
positivo,informacion acompan educacion sexual respons padr lider comunitari gobi adolescent socied problemat solucion brind herramient alanc suen 
positivo,delici segur
positivo,campan
positivo,polit public inclusion iguald acces educacion superior har reconoc mujer beneficiari program
negativo,lospais person divers aspect vid analiz cambi enterat event viv 
negativo,francisc hurt adjunt ddhh santiag roser revist diners hech suced posorj
negativo,senor unic sobr polit irrespons escrupul agit xenofobi aran vot habl corrupcion mal gestion deud aument desiguald destroz public
positivo,control constitucional consult popular anos emit provident admision decid atentxs dictam
negativo,nen wichi anos embaraz acced abort legal riesg vid acces centr salud muri pas terapi intens 
negativo,profug correism herenci crisis econom sumergi crisis moral institucional
positivo,conclu proces capacitacion promov aplicacion enfoqu gener personal profesional
positivo,inici entrev director tecnic
negativo,pso venezuel cub vergenz ajen zapater apoy legitim tirani madur call violacion ddhh exod millon venezolan sanchez legitim dictadur cuban ignor opositor pid democraci
negativo,muestr agu recog rios contamin canton caus mineri afect comun
positivo,victor giorgi asegur entrev trafic sexual product discriminacion ausenci oportun explotacion vid tom distint form reflexion
positivo,entrev director tutel dialog accion proteccion propondr derog resolucion decl zon riesg isla afect habit
positivo,necesit debat respetu respons habl abort lea articul complet via
negativo,manan juici histori banc integracion nacional respons exist sancion cas avergenz asamb
negativo,asambl respald precandidatur president person ampli trayectori condicion an necesit
positivo,tem trat xiii conferent regional muj amer latin
positivo,represent lider reunion interinstitucional provinci autor dialog acerc fortalec mecan respuest prevencion violenci
positivo,busc just equit desarroll espaci armoni rest region asambl 
positivo,cre menor habit indic alej encuentr
positivo,event internacional erradicacion violenci muj organiz particip institu combat violenci 
positivo,celebr cumplean pdte sum cant alegri salud felic graci pdte defend patri venezuel espiritual
positivo,pap cuid beb 
