positivo;negativo
bueno;odio
correcto;torpeza
justo;contrarrevolucion
honesto;mala
honrado;insulto
eficiente;acoso
adaptable;obstruccion
benevolo;cuestionable
benéfico;irracional
cívico;absurdo
confiable;irregularidad
consciente;persecucion
prudente;peligro
correcto;traicion
comprometido;riesgo
diplomático;confabulacion
democrático;triste
igualitario;infamia
estable;incongruencia
habil;calumnia
humilde;precariedad
pacifico;abuso
inteligente;soez
sabio;pisoteado
irreprochable;demagogia
liderazgo;problema
maduro;dolor
meritorio;sufrimiento
noble;execrables
novedoso;abominacion
atento;castigo
óptimo;mentira
ordenado;atacar
próspero;corrupcion
productivo;peor
racional;inexplicable
respetuoso;reclamar
satisfactorio;desconocimiento
cooperativo;omitir
util;mediocridad
transformador;daño
superior;traidor
sencillo;lastima
sobresaliente;vago
sincero;odiador
recto;traidor
moral;desgraciado
gran;tonto
integro;desubicado
cumplidor;bazofia
